scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
389,Seoudi Supermarket,Ulker Turkish Labneh,Ulker,104.95,130,EGP,Labneh,Cheese & Labneh,Labneh,180,g,19,https://seoudisupermarket.com/en/ulker-turkish-labneh-180-g,Out of Stock,9/14/2026 18:46
390,Seoudi Supermarket,Yopolis Low Salt Cheese Free from Vegetable Oils,Yopolis,114.75,135,EGP,Cheese,Cheese & Labneh,,450,g,15,https://seoudisupermarket.com/en/yopolis-low-salt-cheese-free-from-vegetable-oils-450-g,Out of Stock,9/14/2026 18:46
391,Seoudi Supermarket,Almarai Full Fat Cheddar Cheese,Almarai,104.95,,EGP,Cheese,Cheese & Labneh,,113,g,,https://seoudisupermarket.com/en/almarai-full-fat-cheddar-cheese-113-g,Out of Stock,9/14/2026 18:46
392,Seoudi Supermarket,Almarai Full Fat Cheddar Cheese,Almarai,179.95,,EGP,Cheese,Cheese & Labneh,,200,g,,https://seoudisupermarket.com/en/almarai-full-fat-cheddar-cheese-200-g,Out of Stock,9/14/2026 18:46
393,Seoudi Supermarket,Domty Cheddar Cheese Sauce,Domty,72.95,83.95,EGP,Cheese,Cheese & Labneh,,250,g,13,https://seoudisupermarket.com/en/domty-cheddar-cheese-sauce-250-g,Out of Stock,9/14/2026 18:46
394,Seoudi Supermarket,Kraft Processed Cheddar Cheese,Kraft,66.95,90,EGP,Cheese,Cheese & Labneh,,50,g,26,https://seoudisupermarket.com/en/%D9%83%D8%B1%D8%A7%D9%81%D8%AA-%D8%AC%D8%A8%D9%86%D8%A9-%D8%B4%D9%8A%D8%AF%D8%B1-%D8%B5%D9%81%D9%8A%D8%AD50%D8%AC%D9%85,Out of Stock,9/14/2026 18:46
395,Seoudi Supermarket,Almarai Cheddar Cheese Slices,Almarai,159.95,,EGP,Cheese,Cheese & Labneh,,10,pieces,,https://seoudisupermarket.com/en/almarai-cheddar-cheese-slices-10-piece,Out of Stock,9/14/2026 18:46
396,Seoudi Supermarket,Almarai Creamy Cheese,Almarai,91,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,200,g,,https://seoudisupermarket.com/en/almarai-creamy-cheese-200-g,Out of Stock,9/14/2026 18:46
397,Seoudi Supermarket,Obour Land Gold Feta Cheese,Obour Land,85.75,99.75,EGP,Cheese,Cheese & Labneh,Feta,500,g,14,https://seoudisupermarket.com/en/obour-land-gold-feta-cheese-500-g,Out of Stock,9/14/2026 18:46
398,Seoudi Supermarket,Avanti Cheddar Spread Cream Flavor,Avanti,71.5,84,EGP,Cheese,Cheese & Labneh,,240,g,15,https://seoudisupermarket.com/en/avanti-cheddar-spread-cream-flavor-240-g,Out of Stock,9/14/2026 18:46
399,Seoudi Supermarket,Avanti Cheddar Spread Roumy Flavor,Avanti,66,78,EGP,Cheese,Cheese & Labneh,Roumy,240,g,15,https://seoudisupermarket.com/en/avanti-cheddar-spread-roumy-flavor-240-g,Out of Stock,9/14/2026 18:46
400,Seoudi Supermarket,Master Burger Cheese Slices,Master,119.95,,EGP,Cheese,Cheese & Labneh,,12,pieces,,https://seoudisupermarket.com/en/master-burger-cheese-slices-12-pieces,Out of Stock,9/14/2026 18:46
401,Seoudi Supermarket,Domty White Cheese with Cream,Domty,109.95,144.75,EGP,Cheese,Cheese & Labneh,White Cheese,450,g,24,https://seoudisupermarket.com/en/domty-white-cheese-with-cream-450-g,Out of Stock,9/14/2026 18:46
402,Seoudi Supermarket,Happy Cow Cheddar Cheese Slices,Happy Cow,119.95,,EGP,Cheese,Cheese & Labneh,,8,pieces,,https://seoudisupermarket.com/en/happy-cow-cheddar-cheese-slices-8-pieces,Out of Stock,9/14/2026 18:46
403,Seoudi Supermarket,Dina Farms Ricotta Cheese,Dina Farms,65.95,,EGP,Cheese,Cheese & Labneh,Ricotta,250,g,,https://seoudisupermarket.com/en/dina-farms-ricotta-cheese-250-g,Out of Stock,9/14/2026 18:46
