scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
49,Seoudi Supermarket,Haboba Sugar - 1 kg,29.95 EGP,,,Sugar,,1.0,kg,,EGP,https://seoudisupermarket.com/en/haboba-sugar-1-kg,Out of Stock,,2026-09-14 18:26:17.871316,
50,Seoudi Supermarket,Shahd Sugar - 1 kg,25.95 EGP,,,Sugar,,1.0,kg,,EGP,https://seoudisupermarket.com/en/shahd-sugar-1-kg,Out of Stock,,2026-09-14 18:26:17.871316,
51,Seoudi Supermarket,Al Sokaria Sugar - Pack of 120,74.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/al-sokaria-sugar-pack-of-120,Out of Stock,,2026-09-14 18:26:23.887944,
52,Seoudi Supermarket,Safety Fructose Sugar - 450 g,124.95 EGP,,,Sugar,,450.0,g,,EGP,https://seoudisupermarket.com/en/safety-fructose-sugar-450-g,Out of Stock,,2026-09-14 18:26:23.888948,
53,Seoudi Supermarket,Sekem Stevia Natural Sweetener - 40 Sachet,77.25 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sekem-stevia-natural-sweetener-40-sachet,Out of Stock,,2026-09-14 18:26:23.889946,
54,Seoudi Supermarket,Lakanto Monkfruit Sweetener - 454 g,339.95 EGP,,,Sugar,,454.0,g,,EGP,https://seoudisupermarket.com/en/lakanto-monkfruit-sweetener-454-g,Out of Stock,,2026-09-14 18:26:23.890947,
55,Seoudi Supermarket,Safety Brown Sugar - 250 g,31.75 EGP,,,Sugar,,250.0,g,,EGP,https://seoudisupermarket.com/en/safety-brown-sugar-250-g,Out of Stock,,2026-09-14 18:26:23.891945,
56,Seoudi Supermarket,Safety Fructose Sugar - 250 g,67.75 EGP,,,Sugar,,250.0,g,,EGP,https://seoudisupermarket.com/en/safety-fructose-sugar-250-g,Out of Stock,,2026-09-14 18:26:23.892946,
57,Seoudi Supermarket,Sweet & Slim Zero Calories Sweetener - 400 Pieces,304.95 EGP,,,Sugar,,,,,EGP,https://seoudisupermarket.com/en/sweet-slim-zero-calories-sweetener-400-pieces,Out of Stock,,2026-09-14 18:26:23.893949,
58,Seoudi Supermarket,Imtenan Coconut Sugar - 400 g,178.45 EGP,,,Sugar,,400.0,g,,EGP,https://seoudisupermarket.com/en/imtenan-coconut-sugar-400-g,Out of Stock,,2026-09-14 18:26:23.894950,
