scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
190,Seoudi Supermarket,Sonbolat Elforat Pizza Flour - 1 kg,52.45 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/sonbolat-elforat-pizza-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.892605,
191,Seoudi Supermarket,Picky Baker Cakes Flour - 1 kg,28.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/picky-baker-cakes-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.893605,
192,Seoudi Supermarket,Ragab El Attar Corn Flour - 500 g,27.95 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/ragab-el-attar-corn-flour-500-g,Out of Stock,,2026-09-14 18:32:44.895606,
193,Seoudi Supermarket,Food Print Oat Flour - 500 g,65.45 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/food-print-oat-flour-500-g,Out of Stock,,2026-09-14 18:32:44.896606,
194,Seoudi Supermarket,Foodprint Coconut Flour - 250 g,86.75 EGP,,,Flour,,250.0,g,,EGP,https://seoudisupermarket.com/en/foodprint-coconut-flour-250-g,Out of Stock,,2026-09-14 18:32:44.897606,
195,Seoudi Supermarket,Sonbolat Elforat Gluten Free Corn Flour - 1 kg,56.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/sonbolat-elforat-gluten-free-corn-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.898606,
196,Seoudi Supermarket,Sonbolat ElForat Gluten Free Flour - 500 g,101.45 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/sonbolat-elforat-gluten-free-flour-500-g,Out of Stock,,2026-09-14 18:32:44.899606,
197,Seoudi Supermarket,Keto Licious Coconut Flour - 454 g,139.95 EGP,,,Flour,,454.0,g,,EGP,https://seoudisupermarket.com/en/keto-licious-coconut-flour-454-g,Out of Stock,,2026-09-14 18:32:44.900605,
198,Seoudi Supermarket,Naldoni Coarse Corn Flour - 1 kg,259.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/naldoni-coarse-corn-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.901606,
199,Seoudi Supermarket,Keto Licious Vital Wheat Gluten Flour - 454 g,269.95 EGP,,,Flour,,454.0,g,,EGP,https://seoudisupermarket.com/en/keto-licious-vital-wheat-gluten-flour-454-g,Out of Stock,,2026-09-14 18:32:44.902607,
200,Seoudi Supermarket,Double Bear Finest Rice Flour - 1 kg,199.75 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/double-bear-finest-rice-flour-1-kg,Out of Stock,,2026-09-14 18:32:44.903607,
201,Seoudi Supermarket,5 Stagioni Pizza Flour - 10 kg,924.95 EGP,,,Flour,,10.0,kg,,EGP,https://seoudisupermarket.com/en/5-stagioni-pizza-flour-10-kg,Out of Stock,,2026-09-14 18:32:51.011163,
202,Seoudi Supermarket,Uncle Barns Tempura Flour - 1 kg,189.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/uncle-barns-tempura-flour-1-kg,Out of Stock,,2026-09-14 18:32:51.012169,
203,Seoudi Supermarket,Uncle Barns Tempura Flour - 500 g,161.95 EGP,,,Flour,,500.0,g,,EGP,https://seoudisupermarket.com/en/uncle-barns-tempura-flour-500-g,Out of Stock,,2026-09-14 18:32:51.012169,
204,Seoudi Supermarket,Keto Licious Lupin Flour - 454 g,109.95 EGP,,,Flour,,454.0,g,,EGP,https://seoudisupermarket.com/en/keto-licious-lupin-flour-454-g,Out of Stock,,2026-09-14 18:32:51.013167,
205,Seoudi Supermarket,Haboba Flour - 1 kg,24.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/haboba-flour-1-kg,Out of Stock,,2026-09-14 18:32:51.014167,
206,Seoudi Supermarket,Five Stars Dumpling Flour Mix - 1 kg,61.75 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/five-stars-dumpling-flour-mix-1-kg,Out of Stock,,2026-09-14 18:32:51.014167,
207,Seoudi Supermarket,Sonbolat El Forat Gluten Free Rice Flour - 1 kg,64.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/sonbolat-el-forat-gluten-free-rice-flour-1-kg,Out of Stock,,2026-09-14 18:32:51.015167,
